"","Subject","Condition","ListNum","Block","Recall","Direction","Jol"
"570",101,"A",10,1,1,"F",50
"571",101,"A",11,1,1,"F",75
"572",101,"A",12,1,1,"F",50
"573",101,"A",13,1,0,"F",100
"574",101,"A",14,1,1,"F",50
"575",101,"A",15,1,1,"F",50
"576",101,"A",16,1,0,"F",100
"577",101,"A",17,1,0,"F",100
"578",101,"A",18,1,1,"F",75
"579",101,"A",19,1,0,"F",25
"580",101,"A",20,1,1,"F",50
"581",101,"A",21,1,1,"B",50
"582",101,"A",22,1,1,"B",100
"583",101,"A",23,1,1,"B",50
"584",101,"A",24,1,0,"B",100
"585",101,"A",25,1,1,"B",100
"586",101,"A",26,1,1,"B",75
"587",101,"A",27,1,1,"B",100
"588",101,"A",28,1,1,"B",100
"589",101,"A",29,1,1,"B",100
"590",101,"A",30,1,1,"B",75
"591",101,"A",31,1,0,"B",50
"592",101,"A",32,1,1,"B",100
"593",101,"A",33,1,0,"B",100
"594",101,"A",34,1,1,"B",100
"595",101,"A",35,1,0,"B",75
"596",101,"A",36,1,1,"B",100
"597",101,"A",37,1,1,"B",100
"598",101,"A",38,1,1,"B",0
"599",101,"A",39,1,1,"B",75
"600",101,"A",40,1,1,"B",100
"601",101,"A",41,1,1,"S",50
"602",101,"A",42,1,0,"S",50
"603",101,"A",43,1,0,"S",100
"604",101,"A",44,1,1,"S",75
"605",101,"A",45,1,0,"S",100
"606",101,"A",46,1,0,"S",100
"607",101,"A",47,1,1,"S",100
"608",101,"A",48,1,1,"S",100
"609",101,"A",49,1,1,"S",50
"610",101,"A",50,1,1,"S",100
"611",101,"A",51,1,1,"S",0
"612",101,"A",52,1,1,"S",100
"613",101,"A",53,1,1,"S",100
"614",101,"A",54,1,1,"S",100
"615",101,"A",55,1,1,"S",50
"616",101,"A",56,1,1,"S",0
"617",101,"A",57,1,1,"S",75
"618",101,"A",58,1,1,"S",50
"619",101,"A",59,1,1,"S",25
"620",101,"A",60,1,1,"S",25
"621",101,"A",61,1,0,"U",25
"622",101,"A",62,1,1,"U",75
"623",101,"A",63,1,0,"U",0
"624",101,"A",64,1,1,"U",25
"625",101,"A",65,1,0,"U",25
"626",101,"A",66,1,0,"U",0
"627",101,"A",67,1,1,"U",100
"628",101,"A",68,1,0,"U",0
"629",101,"A",69,1,0,"U",0
"630",101,"A",70,1,1,"U",0
"631",101,"A",71,1,1,"U",0
"632",101,"A",72,1,1,"U",0
"633",101,"A",73,1,0,"U",50
"634",101,"A",74,1,0,"U",0
"635",101,"A",75,1,0,"U",0
"636",101,"A",76,1,1,"U",0
"637",101,"A",77,1,0,"U",0
"638",101,"A",78,1,0,"U",50
"639",101,"A",79,1,1,"U",55
"640",101,"A",80,1,0,"U",75
"641",105,"A",1,1,1,"F",75
"642",105,"A",2,1,1,"F",92
"643",105,"A",3,1,0,"F",23
"644",105,"A",4,1,0,"F",89
"645",105,"A",5,1,0,"F",71
"646",105,"A",6,1,1,"F",40
