Subject,Condition,ListNum,Jol,Recall,Direction,block
25,A,q32,50,0,B,1
25,A,q33,30,0,B,1
25,A,q34,30,0,B,1
25,A,q35,30,0,B,1
25,A,q36,50,0,B,1
25,A,q37,30,0,B,1
25,A,q38,30,0,B,1
25,A,q39,30,0,B,1
25,A,q40,40,0,B,1
25,A,q41,50,100,S,1
25,A,q42,40,0,S,1
25,A,q43,40,0,S,1
25,A,q44,40,0,S,1
25,A,q45,40,0,S,1
25,A,q46,20,0,S,1
25,A,q47,40,100,S,1
25,A,q48,45,100,S,1
25,A,q49,50,100,S,1
25,A,q50,50,100,S,1
25,A,q51,50,0,S,1
25,A,q52,30,0,S,1
25,A,q53,40,100,S,1
25,A,q54,40,100,S,1
25,A,q55,30,0,S,1
25,A,q56,60,0,S,1
25,A,q57,40,0,S,1
25,A,q58,40,100,S,1
25,A,q59,40,0,S,1
25,A,q60,30,100,S,1
25,A,q61,20,0,U,1
25,A,q62,10,0,U,1
25,A,q63,20,0,U,1
25,A,q64,30,100,U,1
25,A,q65,30,0,U,1
25,A,q66,20,0,U,1
25,A,q67,30,0,U,1
25,A,q68,25,0,U,1
25,A,q69,40,0,U,1
25,A,q70,5,0,U,1
25,A,q71,30,0,U,1
25,A,q72,20,0,U,1
25,A,q73,20,0,U,1
25,A,q74,20,0,U,1
25,A,q75,40,0,U,1
25,A,q76,30,0,U,1
25,A,q77,30,0,U,1
25,A,q78,30,0,U,1
25,A,q79,45,0,U,1
25,A,q80,30,0,U,1
25,A,q81,20,100,F,2
25,A,q82,40,100,F,2
25,A,q83,45,100,F,2
25,A,q84,20,0,F,2
25,A,q85,45,100,F,2
25,A,q86,45,0,F,2
25,A,q87,20,100,F,2
25,A,q88,40,100,F,2
25,A,q89,50,100,F,2
25,A,q90,30,0,F,2
25,A,q91,50,100,F,2
25,A,q92,0,100,F,2
25,A,q93,40,100,F,2
25,A,q94,45,100,F,2
25,A,q95,30,100,F,2
25,A,q96,30,100,F,2
25,A,q97,10,100,F,2
25,A,q98,45,100,F,2
25,A,q99,50,100,F,2
25,A,q100,40,100,F,2
25,A,q101,10,100,B,2
25,A,q102,20,0,B,2
25,A,q103,45,100,B,2
25,A,q104,25,100,B,2
25,A,q105,50,100,B,2
25,A,q106,25,100,B,2
25,A,q107,20,0,B,2
25,A,q108,45,100,B,2
25,A,q109,45,100,B,2
25,A,q110,25,100,B,2
25,A,q111,23,0,B,2
25,A,q112,20,0,B,2
25,A,q113,30,0,B,2
25,A,q114,50,100,B,2
25,A,q115,25,0,B,2
25,A,q116,40,100,B,2
25,A,q117,50,0,B,2
25,A,q118,40,100,B,2
25,A,q119,50,100,B,2
25,A,q120,45,100,B,2
