"","Subject","Condition","ListNum","Block","Recall","Subject","Condition","ListNum","Block","Direction","Jol"
"440",69,"A",40,1,0,69,"A",40,1,"B",5
"441",69,"A",41,1,0,69,"A",41,1,"S",50
"442",69,"A",42,1,0,69,"A",42,1,"S",100
"443",69,"A",43,1,0,69,"A",43,1,"S",60
"444",69,"A",44,1,1,69,"A",44,1,"S",100
"445",69,"A",45,1,0,69,"A",45,1,"S",50
"446",69,"A",46,1,0,69,"A",46,1,"S",0
"447",69,"A",47,1,1,69,"A",47,1,"S",100
"448",69,"A",48,1,1,69,"A",48,1,"S",100
"449",69,"A",49,1,1,69,"A",49,1,"S",100
"450",69,"A",50,1,0,69,"A",50,1,"S",90
"451",69,"A",51,1,0,69,"A",51,1,"S",100
"452",69,"A",52,1,0,69,"A",52,1,"S",70
"453",69,"A",53,1,0,69,"A",53,1,"S",90
"454",69,"A",54,1,1,69,"A",54,1,"S",90
"455",69,"A",55,1,0,69,"A",55,1,"S",100
"456",69,"A",56,1,0,69,"A",56,1,"S",90
"457",69,"A",57,1,0,69,"A",57,1,"S",80
"458",69,"A",58,1,1,69,"A",58,1,"S",100
"459",69,"A",59,1,1,69,"A",59,1,"S",90
"460",69,"A",60,1,1,69,"A",60,1,"S",100
"461",69,"A",61,1,0,69,"A",61,1,"U",50
"462",69,"A",62,1,0,69,"A",62,1,"U",0
"463",69,"A",63,1,0,69,"A",63,1,"U",50
"464",69,"A",64,1,0,69,"A",64,1,"U",0
"465",69,"A",65,1,0,69,"A",65,1,"U",50
"466",69,"A",66,1,0,69,"A",66,1,"U",100
"467",69,"A",67,1,0,69,"A",67,1,"U",100
"468",69,"A",68,1,0,69,"A",68,1,"U",50
"469",69,"A",69,1,0,69,"A",69,1,"U",50
"470",69,"A",70,1,0,69,"A",70,1,"U",80
"471",69,"A",71,1,0,69,"A",71,1,"U",50
"472",69,"A",72,1,0,69,"A",72,1,"U",90
"473",69,"A",73,1,0,69,"A",73,1,"U",40
"474",69,"A",74,1,0,69,"A",74,1,"U",50
"475",69,"A",75,1,0,69,"A",75,1,"U",100
"476",69,"A",76,1,0,69,"A",76,1,"U",40
"477",69,"A",77,1,0,69,"A",77,1,"U",60
"478",69,"A",78,1,0,69,"A",78,1,"U",70
"479",69,"A",79,1,0,69,"A",79,1,"U",60
"480",69,"A",80,1,0,69,"A",80,1,"U",100
"481",37,"A",1,2,1,37,"A",1,2,"F",67
"482",37,"A",2,2,1,37,"A",2,2,"F",67
"483",37,"A",3,2,1,37,"A",3,2,"F",34
"484",37,"A",4,2,1,37,"A",4,2,"F",23
"485",37,"A",5,2,0,37,"A",5,2,"F",23
"486",37,"A",6,2,1,37,"A",6,2,"F",45
"487",37,"A",7,2,0,37,"A",7,2,"F",56
"488",37,"A",8,2,1,37,"A",8,2,"F",45
"489",37,"A",9,2,1,37,"A",9,2,"F",67
"490",37,"A",10,2,1,37,"A",10,2,"F",36
"491",37,"A",11,2,1,37,"A",11,2,"F",78
"492",37,"A",12,2,0,37,"A",12,2,"F",34
"493",37,"A",13,2,1,37,"A",13,2,"F",67
