Subject,Block,ListNum,cue_target,cue_target,Task,RT,Direction
2,2,48,Kidney - ?,Kidney ,Recall,5237,S
2,2,49,Begin - ?,Begin ,Recall,3399,S
2,2,50,Blow - ?,Blow ,Recall,2149,S
2,2,51,Pop - ?,Pop ,Recall,4964,S
2,2,52,Wine - ?,Wine ,Recall,5543,S
2,2,53,Bathroom - ?,Bathroom ,Recall,2282,S
2,2,54,Choice - ?,Choice ,Recall,2346,S
2,2,55,Shoe - ?,Shoe ,Recall,10646,S
2,2,56,Lettuce - ?,Lettuce ,Recall,3381,S
2,2,57,Meaning - ?,Meaning ,Recall,2390,S
2,2,58,Honey - ?,Honey ,Recall,2055,S
2,2,59,Baby - ?,Baby ,Recall,6684,S
2,2,60,Circle - ?,Circle ,Recall,4097,S
2,2,61,Pusher - ?,Pusher ,Recall,2668,U
2,2,62,Dietary - ?,Dietary ,Recall,2314,U
2,2,63,Park - ?,Park ,Recall,7147,U
2,2,64,Lift - ?,Lift ,Recall,3593,U
2,2,65,Soon - ?,Soon ,Recall,2739,U
2,2,66,Discover - ?,Discover ,Recall,2065,U
2,2,67,Death - ?,Death ,Recall,5979,U
2,2,68,Debate - ?,Debate ,Recall,2586,U
2,2,69,Artery - ?,Artery ,Recall,2957,U
2,2,70,Fix - ?,Fix ,Recall,2062,U
2,2,71,Machine - ?,Machine ,Recall,4905,U
2,2,72,Happy - ?,Happy ,Recall,2697,U
2,2,73,Allow - ?,Allow ,Recall,2314,U
2,2,74,Art - ?,Art ,Recall,1944,U
2,2,75,Strong - ?,Strong ,Recall,4592,U
2,2,76,Sugar - ?,Sugar ,Recall,6737,U
2,2,77,Valley - ?,Valley ,Recall,2968,U
2,2,78,Cash - ?,Cash ,Recall,2168,U
2,2,79,Hide - ?,Hide ,Recall,7082,U
2,2,80,King - ?,King ,Recall,3110,U
3,1,1,Enough - Full,Enough ,JOL,2094,F
3,1,2,Sip - Drink,Sip ,JOL,8927,F
3,1,3,Cave - Dark,Cave ,JOL,5534,F
3,1,4,Seize - Take,Seize ,JOL,2142,F
3,1,5,Growth - Height,Growth ,JOL,2340,F
3,1,6,Word - Sentence,Word ,JOL,6418,F
3,1,7,Wasp - Bug,Wasp ,JOL,4110,F
3,1,8,Division - Math,Division ,JOL,3403,F
