Cue,Target,Concrete_1,Logsub_1,length_1,Concrete_2,Logsub_2,Length_2,Direction
ALONE,LONELY,3.81,4.1969,5,2.53,3.3276,6,S
DRY,WET,3.36,3.395,3,4.74,3.3012,3,S
SAFETY,SEATBELT,4.27,3.2175,6,6.53,1.6812,8,S
TRUTH,LIE,2.72,3.9913,5,4.04,3.7877,3,S
PHONE,COMMUNICATION,6.02,4.1385,5,NA,2.7235,13,S
ROD,REEL,6.15,2.7388,3,4.85,2.2227,4,S
FLEA,TICK,6.12,2.2304,4,5.69,2.5694,4,S
LOUD,NOISE,3.93,3.3079,4,5.29,3.2504,5,S
OWN,HAVE,3.05,4.3696,3,2.44,5.4973,4,S
TANTRUM,TEMPER,NA,1.6628,7,2.7,2.7657,6,S
SUN,TAN,6.23,3.5507,3,4.18,2.6435,3,S
JUSTICE                  ,MAROON                   ,2.18,3.2813,6,4.82,1.7924,6,U
STRETCH,CLOTH,4.63,2.8745,6,5.76,2.4942,5,U
GIVE,STEAK,3.18,4.775,4,6.47,2.9186,5,U
MAZE,ELECTION,5.02,2.1173,4,4.05,2.749,8,U
VEHICLE,CHARM,6.45,3.0622,7,4.2,2.9004,5,U
MEAT,OBTAIN,6.93,3.3477,4,2.88,2.281,6,U
CRACKLE,ABLE,4.23,1.5563,7,2.91,3.9115,4,U
Shell,SHAKE,5.53,2.6385,4,5.1,3.3058,5,U
LISTEN,FICTION,4.04,4.4438,6,3,2.4928,7,U
KEYS,JOKE,6.08,3.4153,4,3.48,3.5711,4,U
CAKE,CLOTHES,6.11,3.3615,4,6.63,3.7126,7,U
NAME                     ,HATE                     ,3.96,4.515,4,3.86,4.0392,4,U
FUZZY,BANG,4.4,2.4742,5,4.2,3.0086,4,U
MOAT                     ,CLEAR                    ,4.98,1.7853,4,3.51,3.9427,5,U
LEASE                    ,TOIL                     ,3.67,2.5065,5,3.82,1.716,4,U
LOAN                     ,SIGN                     ,3.74,3.006,4,5.16,3.8324,4,U
BOTH                     ,OUNCE                    ,NA,4.1779,4,4.98,2.316,5,U
TEMPERATURE,Morning,4.61,2.847,11,5.11,4.3501,7,U
MIRROR,CHILDREN,5.91,3.0913,6,5.78,3.9509,8,U
MAIN                     ,SCAR                     ,2.89,3.3385,4,5.48,2.6365,4,U
BAD,DELINQUENT,3,4.4441,3,NA,1.8573,10,B
STOMACH,DIGESTION,6.04,3.237,7,NA,1.7243,9,B
MONEY,WAGE,5.77,4.5143,5,4.33,2.2041,4,B
HAMMER,CHISEL,5.77,2.8041,6,5.84,1.6628,6,B
NEWS,EDITOR,5.62,3.9243,4,NA,2.8021,6,B
STING,HORNET,4.52,2.5551,5,6.37,NA,6,B
COLD,BITTER,4.67,3.8221,4,4.05,2.7551,6,B
PLANT,ROOT,5.98,3.1489,5,5.54,2.7284,4,B
BIRD,SWAN,5.77,3.3653,4,NA,NA,4,B
DOG,PAW,5.75,3.9928,3,NA,2.2041,3,B
OUT,WAY,2.4,5.2948,3,2.61,4.8613,3,B
CLEAN,HYGIENE,3.82,3.7913,5,NA,2.0374,7,B
WATER,BRIDGE,6.27,4.0599,5,6.36,3.3677,6,B
ROCK,GEOLOGY,6.03,3.643,4,3.75,1.6812,7,B
WAR,REVOLUTION,4.73,3.95,3,NA,2.7993,10,B
TALK,DISCUSSION,4.18,4.6395,4,3.7,2.7924,10,B
COW,HERD,6.12,3.1146,3,5.05,2.5575,4,B
CARD,CREDIT,5.61,3.6393,4,NA,3.3688,6,B
FLOWER,ORCHID,5.62,3.0652,6,5.86,2.0453,6,B
FISH,TUNA,5.84,3.6293,4,6.53,2.6117,4,B
ENOUGH,FULL,NA,4.4077,6,3.74,3.9301,4,B
SIP,DRINK,NA,2.4166,3,4.95,4.101,5,F
CAVE,DARK,5.79,2.8537,4,4.68,3.6551,4,F
SEIZE,TAKE,NA,2.3927,5,3.2,4.9843,4,F
GROWTH,HEIGHT,NA,2.5185,6,3.85,2.6785,6,F
WORD,SENTENCE,5.13,4.0797,4,4.76,3.0204,8,F
WASP,BUG,6.33,1.8692,4,6.4,3.029,3,F
DIVISION,MATH,3.3,2.9763,8,3.78,2.9227,4,F
ATTORNEY,LAW,NA,3.3141,8,3.36,3.7733,3,F
FANTASTIC,GREAT,NA,3.3075,9,3.03,4.6219,5,F
LATCH,KEY,5.41,1.9956,5,6.08,3.6465,3,F
